date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:02:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Feb%202019%2021:03:56%20GMT	https://ertugrl.com/tag/dirilis-ertugrul/page/8/?filtre=random%26display=tube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/dirilis-ertugrul/page/8/index44a5.html	(from https://ertugrl.com/tag/dirilis-ertugrul/page/8/?filtre=random&display=extract&display=tube)
22:02:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Feb%202019%2021:03:59%20GMT	https://ertugrl.com/tag/dirilis-ertugrul/page/8/?filtre=random%26display=extract	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/dirilis-ertugrul/page/8/index58ad.html	(from https://ertugrl.com/tag/dirilis-ertugrul/page/8/?filtre=random&display=extract&display=extract)
22:02:59	38435/38435	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2021:04:18%20GMT	https://ertugrl.com/tag/dirilis-ertugrul/?filtre=date%26display%3Dtube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/dirilis-ertugrul/index990f.html	(from https://ertugrl.com/tag/dirilis-ertugrul/page/1/?filtre=date%26display%3Dtube)
22:02:59	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Feb%202019%2021:04:16%20GMT	https://ertugrl.com/tag/dirilis-ertugrul/page/8/?filtre=random%26display=wall	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/dirilis-ertugrul/page/8/index5c02.html	(from https://ertugrl.com/tag/dirilis-ertugrul/page/8/?filtre=random&display=extract&display=wall)
22:03:02	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Feb%202019%2021:04:19%20GMT	https://ertugrl.com/tag/dirilis-ertugrul/page/4/?filtre=date&display=tube&display=tube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/dirilis-ertugrul/page/4/indexcb4e.html	(from https://ertugrl.com/tag/dirilis-ertugrul/page/4/?filtre=date%26display%3Dtube)
22:03:02	39792/39792	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2021:04:22%20GMT	https://ertugrl.com/tag/dirilis-ertugrul/page/6/?filtre=date%26display%3Dtube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/dirilis-ertugrul/page/6/index990f.html	(from https://ertugrl.com/tag/dirilis-ertugrul/page/4/?filtre=date%26display%3Dtube)
22:03:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Feb%202019%2021:04:22%20GMT	https://ertugrl.com/tag/dirilis-ertugrul/page/5/?filtre=date&display=tube&display=tube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/dirilis-ertugrul/page/5/indexcb4e.html	(from https://ertugrl.com/tag/dirilis-ertugrul/page/5/?filtre=date%26display%3Dtube)
22:03:07	39289/39289	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2021:04:27%20GMT	https://ertugrl.com/tag/dirilis-ertugrul/page/7/?filtre=date%26display%3Dtube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/dirilis-ertugrul/page/7/index990f.html	(from https://ertugrl.com/tag/dirilis-ertugrul/page/5/?filtre=date%26display%3Dtube)
22:03:14	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Feb%202019%2021:04:31%20GMT	https://ertugrl.com/tag/dirilis-ertugrul/page/10/?filtre=date&display=tube&display=tube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/dirilis-ertugrul/page/10/indexcb4e.html	(from https://ertugrl.com/tag/dirilis-ertugrul/page/10/?filtre=date%26display%3Dtube)
22:03:15	39860/39860	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2021:04:35%20GMT	https://ertugrl.com/tag/dirilis-ertugrul/page/8/?filtre=date%26display%3Dtube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/dirilis-ertugrul/page/8/index990f.html	(from https://ertugrl.com/tag/dirilis-ertugrul/page/10/?filtre=date%26display%3Dtube)
22:03:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Feb%202019%2021:04:50%20GMT	https://ertugrl.com/tag/dirilis-ertugrul/page/9/?filtre=date&display=tube&display=tube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/dirilis-ertugrul/page/9/indexcb4e.html	(from https://ertugrl.com/tag/dirilis-ertugrul/page/9/?filtre=date%26display%3Dtube)
22:03:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Feb%202019%2021:04:51%20GMT	https://ertugrl.com/tag/ertugrl/page/2/?filtre=views&display=tube&display=tube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/ertugrl/page/2/indexfb98.html	(from https://ertugrl.com/tag/ertugrl/page/2/?filtre=views%26display%3Dtube)
22:03:35	39215/39215	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2021:04:54%20GMT	https://ertugrl.com/tag/ertugrl/page/4/?filtre=views%26display%3Dtube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/ertugrl/page/4/index6d37.html	(from https://ertugrl.com/tag/ertugrl/page/2/?filtre=views%26display%3Dtube)
22:03:35	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Feb%202019%2021:04:54%20GMT	https://ertugrl.com/tag/ertugrl/page/1/?filtre=views%26display%3Dtube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/ertugrl/page/1/index6d37.html	(from https://ertugrl.com/tag/ertugrl/page/2/?filtre=views%26display%3Dtube)
22:03:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Feb%202019%2021:04:57%20GMT	https://ertugrl.com/tag/ertugrl/page/3/?filtre=views&display=tube&display=tube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/ertugrl/page/3/indexfb98.html	(from https://ertugrl.com/tag/ertugrl/page/3/?filtre=views%26display%3Dtube)
22:03:40	39883/39883	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2021:04:59%20GMT	https://ertugrl.com/tag/ertugrl/page/5/?filtre=views%26display%3Dtube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/ertugrl/page/5/index6d37.html	(from https://ertugrl.com/tag/ertugrl/page/3/?filtre=views%26display%3Dtube)
22:03:47	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Feb%202019%2021:05:05%20GMT	https://ertugrl.com/tag/ertugrl/page/8/?filtre=views&display=tube&display=tube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/ertugrl/page/8/indexfb98.html	(from https://ertugrl.com/tag/ertugrl/page/8/?filtre=views%26display%3Dtube)
22:03:48	38787/38787	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2021:05:07%20GMT	https://ertugrl.com/tag/ertugrl/page/7/?filtre=views%26display%3Dtube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/ertugrl/page/7/index6d37.html	(from https://ertugrl.com/tag/ertugrl/page/8/?filtre=views%26display%3Dtube)
22:04:06	39348/39348	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2021:05:25%20GMT	https://ertugrl.com/tag/ertugrl/page/6/?filtre=views%26display%3Dtube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/ertugrl/page/6/index6d37.html	(from https://ertugrl.com/tag/ertugrl/page/8/?filtre=views%26display%3Dtube)
22:04:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Feb%202019%2021:05:25%20GMT	https://ertugrl.com/tag/ertugrl/page/2/?filtre=duree&display=tube&display=tube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/ertugrl/page/2/index2e15.html	(from https://ertugrl.com/tag/ertugrl/page/2/?filtre=duree%26display%3Dtube)
22:04:08	39215/39215	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2021:05:27%20GMT	https://ertugrl.com/tag/ertugrl/page/4/?filtre=duree%26display%3Dtube	E:/Youtube/ertugul/ertugul/ertugrl.com/tag/ertugrl/page/4/index47fb.html	(from https://ertugrl.com/tag/ertugrl/page/2/?filtre=duree%26display%3Dtube)
